id;kliendigrupp
VTA-049;eraisik
EPM-015;eraisik
RM-004;eraisik
ARCH-011;eraisik
TJA-076;eraisik
HTM-013;eraisik
AGRI-005;eraisik
TJA-011;eraisik
mta-003;eraisik
RKUL-005;eraisik
VET-007;eraisik
VTA-015;eraisik
KAM-001;eraisik
MKM-017;eraisik
KKA-020;eraisik
TJA-044;eraisik
TMV-015;eraisik
MKM-036;eraisik
KKA-031;eraisik
TJA-055;eraisik
KKA-006;eraisik
STAT-009;eraisik
MESA-001;eraisik
RIA-020;eraisik
AHHA-007;eraisik
STAT-003;eraisik
VET-003;eraisik
TJA-087;eraisik
SKA-021;eraisik
KA-011;eraisik
TJA-023;eraisik
TMV-002;eraisik
RA-010;eraisik
PRIA-002;eraisik
VTA-028;eraisik
KKA-014;eraisik
PRIA-006;eraisik
VTA-039;ettevõte
EPM-011;ettevõte
MIL-001;ettevõte
ARCH-001;ettevõte
TJA-066;ettevõte
INNO-002;ettevõte
SKA-004;ettevõte
KA-001;ettevõte
MFA-008;ettevõte
EAM-001;ettevõte
VET-005;ettevõte
MA-028;ettevõte
SKA-032;ettevõte
LA-015;ettevõte
RM-009;ettevõte
TJA-034;ettevõte
TMV-013;ettevõte
KKA-004;ettevõte
TMV-016;ettevõte
JUM-008;ettevõte
JUM-028;ettevõte
RIA-007;ettevõte
EPM-016;ettevõte
VTA-051;ettevõte
PMK-003;ettevõte
TJA-077;ettevõte
SKA-011;ettevõte
AGRI-006;ettevõte
TJA-012;ettevõte
mta-004;ettevõte
RKUL-006;ettevõte
RM-010;ettevõte
VTA-016;ettevõte
VTA-058;ettevõte
MKM-006;ettevõte
KKA-021;ettevõte
TJA-045;ettevõte
MKM-037;ettevõte
KKA-032;ettevõte
TJA-056;ettevõte
KKA-007;ettevõte
STAT-010;ettevõte
PIIM-005;ettevõte
RIA-021;ettevõte
AHHA-008;ettevõte
VTA-053;ettevõte
EKM-002;ettevõte
TKA-006;ettevõte
SKA-022;ettevõte
LA-002;ettevõte
TJA-024;ettevõte
TMV-003;ettevõte
RA-011;ettevõte
KEM-006;ettevõte
VTA-029;ettevõte
EPM-003;ettevõte
JUM-018;ettevõte
VTA-040;ettevõte
EPM-012;ettevõte
MIL-002;ettevõte
ARCH-003;ettevõte
TJA-067;ettevõte
INNO-003;ettevõte
SKA-005;ettevõte
KA-002;ettevõte
MFA-009;ettevõte
EAM-002;ettevõte
KEM-005;ettevõte
MA-033;ettevõte
SKA-033;ettevõte
LA-016;ettevõte
AKI-006;ettevõte
TJA-035;ettevõte
STAT-016;ettevõte
KKA-005;ettevõte
TJA-046;ettevõte
TMV-017;ettevõte
MA-041;ettevõte
JUM-029;ettevõte
RIA-008;ettevõte
AHHA-001;ettevõte
VTA-052;ettevõte
MA-052;ettevõte
TJA-078;ettevõte
SKA-012;ettevõte
AGRI-007;ettevõte
TJA-013;ettevõte
mta-005;ettevõte
RA-001;ettevõte
PIIM-003;ettevõte
VTA-018;ettevõte
VTA-059;ettevõte
MKM-007;ettevõte
KKA-022;ettevõte
MKM-038;ettevõte
MAAI-001;ettevõte
TJA-057;ettevõte
KKA-008;ettevõte
STAT-011;ettevõte
RIA-022;ettevõte
KEM-003;ettevõte
VTA-054;ettevõte
VET-004;ettevõte
MA-006;ettevõte
SKA-023;ettevõte
LA-003;ettevõte
TJA-025;ettevõte
TMV-004;ettevõte
RA-012;ettevõte
AKI-016;ettevõte
VTA-030;ettevõte
EPM-004;ettevõte
JUM-019;ettevõte
VTA-041;ettevõte
PMK-001;ettevõte
LA-023;ettevõte
ARCH-004;ettevõte
TJA-068;ettevõte
INNO-004;ettevõte
SKA-006;ettevõte
KA-003;ettevõte
MFA-010;ettevõte
EAM-003;ettevõte
VET-006;ettevõte
VTA-005;ettevõte
SKA-034;ettevõte
LA-017;ettevõte
AKI-007;ettevõte
TJA-036;ettevõte
STAT-017;ettevõte
JUM-001;ettevõte
KKA-023;ettevõte
TJA-047;ettevõte
TMV-018;ettevõte
ENTK-001;ettevõte
JUM-030;ettevõte
RIA-009;ettevõte
KUM-002;ettevõte
EMK-001;ettevõte
MA-053;ettevõte
TJA-079;ettevõte
SKA-013;ettevõte
MFA-001;ettevõte
TJA-014;ettevõte
mta-006;ettevõte
RA-002;ettevõte
VET-008;ettevõte
VTA-019;ettevõte
JUM-009;ettevõte
MKM-044;ettevõte
MKM-039;ettevõte
MAAI-002;ettevõte
TJA-058;ettevõte
KKA-009;ettevõte
KI-005;ettevõte
RIA-023;ettevõte
KUM-003;ettevõte
VTA-055;ettevõte
EKM-003;ettevõte
MA-007;ettevõte
SKA-024;ettevõte
LA-005;ettevõte
TJA-026;ettevõte
TMV-005;ettevõte
RA-013;ettevõte
JUM-014;ettevõte
VTA-031;ettevõte
KKA-015;ettevõte
JUM-020;ettevõte
VTA-042;ettevõte
MA-049;ettevõte
MKM-045;ettevõte
ARCH-005;ettevõte
TJA-069;ettevõte
INNO-006;ettevõte
SKA-007;ettevõte
KA-004;ettevõte
STAT-012;ettevõte
EAM-004;ettevõte
EPA-013;ettevõte
VTA-006;ettevõte
AKI-001;ettevõte
LA-018;ettevõte
AKI-008;ettevõte
TJA-037;ettevõte
STAT-018;ettevõte
JUM-002;ettevõte
KKA-024;ettevõte
TJA-048;ettevõte
TMV-019;ettevõte
ENTK-002;ettevõte
JUM-031;ettevõte
RIA-010;ettevõte
KEM-001;ettevõte
HTM-001;ettevõte
MA-054;ettevõte
TJA-080;ettevõte
SKA-014;ettevõte
MFA-002;ettevõte
TJA-015;ettevõte
mta-007;ettevõte
RA-003;ettevõte
KURG-004;ettevõte
VTA-020;ettevõte
JUM-010;ettevõte
MKM-011;ettevõte
MKM-040;ettevõte
MAAI-003;ettevõte
TJA-059;ettevõte
KKA-010;ettevõte
KI-006;ettevõte
RIA-024;ettevõte
KUM-004;ettevõte
ERR-001;ettevõte
EPA-008;ettevõte
MA-008;ettevõte
SKA-025;ettevõte
LA-008;ettevõte
