nimi;haldusala;registrikood
Maksu- ja Tolliamet;Rahandusministeeriumi haldusala;70000349
Rahandusministeerium;Rahandusministeeriumi haldusala;70000272
Riigi Tugiteenuste Keskus;Rahandusministeeriumi haldusala;70007340
Statistikaamet;Rahandusministeeriumi haldusala;70000332
Tartu Maavalitsus;Rahandusministeeriumi haldusala;70000622
Riigikantselei;Riigikantselei haldusala;70004809
AS Andmevara;Siseministeeriumi haldusala;10264823
Häirekeskus;Siseministeeriumi haldusala;70007446
Kaitsepolitseiamet;Siseministeeriumi haldusala;70000591
Päästeamet;Siseministeeriumi haldusala;70000585
Politsei- ja Piirivalveamet;Siseministeeriumi haldusala;70008747
SA Kodanikuühiskonna Sihtkapital;Siseministeeriumi haldusala;90009654
Sisekaitseakadeemia;Siseministeeriumi haldusala;70004465
Siseministeerium;Siseministeeriumi haldusala;70000562
Siseministeeriumi infotehnoloogia- ja arenduskeskus;Siseministeeriumi haldusala;70008440
AS Hoolekandeteenused;Sotsiaalministeeriumi haldusala;10399457
Astangu Kutserehabilitatsiooni Keskus;Sotsiaalministeeriumi haldusala;70003566
Eesti E-tervise SA;Sotsiaalministeeriumi haldusala;90009016
Eesti Haigekassa;Sotsiaalministeeriumi haldusala;74000091
Eesti Töötukassa;Sotsiaalministeeriumi haldusala;74000085
Ravimiamet;Sotsiaalministeeriumi haldusala;70003477
Riiklik Lepitaja;Sotsiaalministeeriumi haldusala;70003491
SA Eesti Puuetega Inimeste Fond;Sotsiaalministeeriumi haldusala;90000145
SA Haapsalu Neuroloogiline Rehabilitatsioonikeskus;Sotsiaalministeeriumi haldusala;90008123
SA Põhja-Eesti Regionaalhaigla;Sotsiaalministeeriumi haldusala;90006399
SA Sillamäe Narkorehabilitatsioonikeskus;Sotsiaalministeeriumi haldusala;90003545
SA Tartu Ülikooli Kliinikum;Sotsiaalministeeriumi haldusala;90001478
SA Viljandi Haigla;Sotsiaalministeeriumi haldusala;90004585
Soolise võrdõiguslikkuse ja võrdse kohtlemise volinik;Sotsiaalministeeriumi haldusala;70009155
Sotsiaalkindlustusamet;Sotsiaalministeeriumi haldusala;70001975
Sotsiaalministeerium;Sotsiaalministeeriumi haldusala;70001952
Tervise Arengu Instituut;Sotsiaalministeeriumi haldusala;70006292
Terviseamet;Sotsiaalministeeriumi haldusala;70008799
Tööinspektsioon;Sotsiaalministeeriumi haldusala;70001969
Välisministeerium;Välisministeeriumi haldusala;70002526
