id.x;kanal.x;aasta;ajakulu.y;hind.y;osutamistearv.y;rahulolu.y
PRIA-037;Letiteenus büroos;2013;;;6;
PRIA-041;E-iseteenindus;2013;;;5492;
PRIA-042;E-iseteenindus;2013;;;358;
PRIA-043;E-iseteenindus;2013;;;1234;
PRIA-044;E-iseteenindus;2013;;;176;
PRIA-047;E-iseteenindus;2013;;;388;
PRIA-048;E-iseteenindus;2013;;;1349;
PRIA-051;E-iseteenindus;2013;;;1074;
PRIA-052;E-iseteenindus;2013;;;14281;
PRIA-053;E-iseteenindus;2013;;;138;
PRIA-068;E-iseteenindus;2013;;;132;
PRIA-068;Post;2013;;;43;
PRIA-069;E-iseteenindus;2013;;;66;
PRIA-072;E-iseteenindus;2013;;;172;
PRIA-073;E-iseteenindus;2013;;;18;
PRIA-074;E-iseteenindus;2013;;;26;
PRIA-076;E-iseteenindus;2013;;;250;
PRIA-077;E-iseteenindus;2013;;;965;
PRIA-085;E-iseteenindus;2013;;;2296;
PRIA-087;E-iseteenindus;2013;;;1102;
PRIA-088;E-iseteenindus;2013;;;171;
PRIA-092;E-post;2013;;;584;
PRIA-108;E-post;2013;;;55;
PRIA-108;Post;2013;;;3;
PRIA-118;E-post;2013;;;4;
PRIA-122;E-post;2013;;;42;
PRIA-123;E-post;2013;;;9;
PRIA-125;Post;2013;;;82;
PRIA-126;E-post;2013;;;4;
PRIA-139;E-post;2013;;;1;
PRIA-142;Post;2013;;;45;
PRIA-143;Post;2013;;;6;
PRIA-144;E-post;2013;;;78;
PRIA-144;Post;2013;;;43;
PRIA-145;Post;2013;;;1;
PRIA-146;E-post;2013;;;13;
PRIA-147;E-post;2013;;;2;
PRIA-148;E-iseteenindus;2013;;;1052;
PRIA-148;E-post;2013;;;745;
PRIA-148;Post;2013;;;822;
PRIA-149;E-iseteenindus;2013;;;897;
PRIA-149;Post;2013;;;584;
PRIA-151;Post;2013;;;15;
PRIA-159;Post;2013;;;3;
PRIA-160;E-post;2013;;;66;
PRIA-161;Post;2013;;;8118;
PRIA-162;Letiteenus büroos;2013;;;239;
PRIA-162;Post;2013;;;86;
RA-001;Veebileht;2013;;;10000;
RAVI-002;Veebileht;2013;;;15;
RAVI-006;Veebileht;2013;;;2;
RAVI-007;Veebileht;2013;;;4350;
RAVI-009;Veebileht;2013;;;89;
RAVI-010;Veebileht;2013;;;314;
RAVI-013;Veebileht;2013;;;5129;
RAVI-017;Veebileht;2013;;;435;
RAVI-018;Veebileht;2013;;;233;
RAVI-020;Veebileht;2013;;;8528;
RAVI-026;E-post;2013;;;7;
RAVI-028;E-post;2013;;;168;
RAVI-029;E-post;2013;;;321;
RAVI-030;E-post;2013;;;19;
RAVI-033;E-post;2013;;;35;
RAVI-034;E-post;2013;;;42;
RAVI-037;Kliendijuures;2013;;;2;
RAVI-040;Kliendijuures;2013;;;5;
RES-201;E-iseteenindus;2014;;;;67
RIA-007;Veebileht;2013;;;122;
RIA-008;E-post;2014;0.08;;131;
RIA-011;Telefon;2014;0.08;;;38
RIA-014;Eesti;2013;;;41;
RIA-015;Eesti;2013;;;15262;
RIA-019;Veebileht;2013;;;135;
RIA-020;E-post;2014;0.67;;;
RIA-021;E-post;2013;;;1;
RIA-026;E-post;2014;0.08;;;
RIA-031;Eesti;2014;;;;54.4
RIA-033;Veebileht;2014;0.11;;424;
RIA-035;Veebileht;2013;;;78;
RIA-036;E-post;2013;;;18387;
RIA-042;Kliendijuures;2013;;;18;
RIA-044;Veebileht;2013;;;70;
RIK-003;E-post;2013;;;602;
RIK-004;Veebileht;2013;;;2;87
RM-005;E-iseteenindus;2013;;;48819;
RM-007;E-iseteenindus;2013;;;9107;72
RM-013;Veebileht;2013;;;927;
RTK-001;E-iseteenindus;2014;;;;85
RTK-002;Veebileht;2013;;;24745;
RTK-003;E-iseteenindus;2014;;;;78
